UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
John M. Curtis,@drjmcurtis,2023-11-01T23:37:33.000Z,"John M. Curtis
@drjmcurtis
·
Nov 2",http://OnlineColumnist.com U.S. Senators Richard Blumenthal (D-Conn.) and Chris Van Hollen (D-Md.) propose the U.S. supply peacekeeping troops to Gaza while it works on a new government once Hamas is ousted from Gaza.  Whether Israel can oust Hamas is anyone's guess.,,,,,[],https://twitter.com/drjmcurtis/status/1719861262518235624
Roberto R. Rodríguez,@Rrodriguez0750,2023-11-01T22:34:34.000Z,"Roberto R. Rodríguez
@Rrodriguez0750
·
Nov 2","Los EEUU. están discutiendo el despliegue de fuerzas de mantenimiento de la paz en Gaza tras la caída de Hamás.
Según los senadores estadounidenses Chris Van Hollen y Richard Blumenthal , actualmente se están llevando a cabo conversaciones para crear una fuerza multinacional.",,,,,[],https://twitter.com/Rrodriguez0750/status/1719845411903394292
Trumpish Retired NCO,@virgofiveeight,2023-11-01T22:09:01.000Z,"Trumpish Retired NCO
@virgofiveeight
·
Nov 2","they didn't get their cut?...
Democrats Seek Probe Into Exxon And Chevron Mega Deals
Chuck Schumer, Amy Klobuchar of Minnesota, Richard Blumenthal of Connecticut, Cory  Booker of New Jersey, John Fetterman of Pennsylvania, and Tammy  Duckworth of Illinois",,,,,['https://pbs.twimg.com/card_img/1732615766653149184/B0wO-zhD?format=jpg&name=900x900'],https://twitter.com/virgofiveeight/status/1719838982853521473
Lazz Lazz,@Lazikkkk,2023-11-01T18:17:38.000Z,"Lazz Lazz
@Lazikkkk
·
Nov 2","Američtí senátoři Chris Van Hollen a Richard Blumenthal pro server Politico uvedli, že USA zvažují možnost, že by po likvidaci Hamásu do pásma Gazy přivedly mnohonárodní síly.

Již dříve o tom psala také tisková agentura Bloomberg.",,1,2,36,['https://pbs.twimg.com/media/F93jePOXIAAk08G?format=jpg&name=900x900'],https://twitter.com/Lazikkkk/status/1719780753746149652
Shahriyar Gourgi,@ShahriyarGourgi,2023-11-01T17:40:46.000Z,"Shahriyar Gourgi
@ShahriyarGourgi
·
Nov 2","New: Sens. Chris Van Hollen (D-Md.) and Richard Blumenthal (D-Conn.) told 
@politico
 that there’s early, closed-door diplomacy over establishing a peacekeeping force in Gaza, though it was not likely to include American troops.",,,,,['https://pbs.twimg.com/card_img/1732424263976800256/8Hufpyd3?format=jpg&name=900x900'],https://twitter.com/ShahriyarGourgi/status/1719771478420230327
Alex Ward,@alexbward,2023-11-01T15:12:34.000Z,"Alex Ward
@alexbward
·
Nov 1","NEW: Sens. Chris Van Hollen (D-Md.) and Richard Blumenthal (D-Conn.) told 
@politico
 that there’s early, closed-door diplomacy over establishing a peacekeeping force in Gaza, though it was not likely to include American troops. w/ 
@reporterjoe
 & 
@nahaltoosi",,1,21,11,['https://pbs.twimg.com/card_img/1732424263976800256/8Hufpyd3?format=jpg&name=900x900'],https://twitter.com/alexbward/status/1719734181708648690
National Review News Wire,@NRWire,2023-11-02T22:32:03.000Z,"National Review News Wire
@NRWire
·
Nov 3","Senators Richard Blumenthal (D., Conn.) and Joni Ernst (R., Iowa) have introduced a bill that would empower the Homeland Security Investigations (HSI) arm of the Department of Homeland Security to enforce American oil sanctions against Iran.",,,,3,['https://pbs.twimg.com/card_img/1730341302087098368/SOaj4_mg?format=jpg&name=small'],https://twitter.com/NRWire/status/1720207168559845766
barbie,@barbie451392501,2023-11-02T21:48:02.000Z,"barbie
@barbie451392501
·
Nov 3","How come these 5-trash republican NY Rep's don't ever bring up Warren being an Indian or Richard Blumenthal lie about serving in Vietnam? Oh but wait they want to boot Santo's. I say boot these 5 
@RepDesposito
 @RepMolinaroNY19
 @RepWilliams
   @RepMikeLawler
  @RepLaLota
  Tweet them",,1,1,5,[],https://twitter.com/barbie451392501/status/1720196093151936896
yakup ekin,@YakupekinEkin,2023-11-02T21:07:04.000Z,"yakup ekin
@YakupekinEkin
·
Nov 3","Connecticut Senatörü Richard Blumenthal depremin ardından 3. kez Türk toplumuyla buluştu

New Haven Diyanet camisinde konuşan Senatör Blumenthal üzüntülerini bildirdi, yardımların süreceğini söyledi

Büyükelçi Murat Mercan Connecticut'ta",,,,,[],https://twitter.com/YakupekinEkin/status/1720185779689808275
Allan,@allan_cheapshot,2023-11-02T20:10:00.000Z,"Allan
@allan_cheapshot
·
Nov 3","#OnThisDay in 2010: Linda McMahon lost her bid to become a Senator for the State of Connecticut, losing to Richard Blumenthal.

The 2010 self-funded campaign would be among the costliest in United States history, with McMahon spending $50 million in her losing effort.",,7,4,40,['https://pbs.twimg.com/tweet_video_thumb/F96gAPoWQAAPT0_.jpg'],https://twitter.com/allan_cheapshot/status/1720171419420733838
Wattsa Matta ?,@wattsa_matta,2023-11-02T19:38:36.000Z,"Wattsa Matta ?
@wattsa_matta
·
Nov 3","dont forget that the #Jews running the #DemocraticParty want to deprive us of our #GunRights while they arm #Israel

#GeorgeSoros #AlexSoros #ChuckSchumer #AdamSchiff #JamieRaskin #JerryNadler #DanielGoldman #RichardBlumenthal #TonyBlinken #RobertReich #PaulKrugman #JanetYellen",,,,,"['https://pbs.twimg.com/media/F98_mQgbQAAZwth?format=jpg&name=small', 'https://pbs.twimg.com/media/F98_mY7aoAA0QCB?format=jpg&name=small', 'https://pbs.twimg.com/media/F98_mija4AAlwbj?format=jpg&name=small', 'https://pbs.twimg.com/media/F98_mruakAAXErD?format=jpg&name=360x360']",https://twitter.com/wattsa_matta/status/1720163517821796518
Wojciech Szewko,@wszewko,2023-11-02T06:27:51.000Z,"Wojciech Szewko
@wszewko
·
Nov 2","USA. Senator Richard Blumenthal powiedział, że delegacja Kongresu podczas swojej wizyty w Izraelu omawiała możliwość obecności sił zbrojnych Arabii Saudyjskiej w ramach sił wielonarodowych w Strefie Gazy. . . .",,18,21,208,[],https://twitter.com/wszewko/status/1719964520955646068
2024 John Flynn US Senate Candidate For CT,@Flynn2022,2023-11-03T23:06:52.000Z,"2024 John Flynn US Senate Candidate For CT
@Flynn2022
·
Nov 4","Brought to you by the IRAN deal of Richard Blumenthal;
who is not an elected official since the race can't be certified. No immunity.  

No cast vote record, no memory cards , no audit so not valid.",,,,1,"['https://pbs.twimg.com/profile_images/1619094022815113216/IRI0NAI2_normal.jpg', 'https://pbs.twimg.com/media/F-A-lsjaUAATtQZ?format=jpg&name=900x900']",https://twitter.com/Flynn2022/status/1720578319597404333
Vinews,@Vinewsshop,2023-11-03T10:50:27.000Z,"Vinews
@Vinewsshop
·
Nov 3","Thượng nghị sĩ Mỹ Chris Van Hollen và Richard Blumenthal nói với Politico rằng Mỹ đang xem xét khả năng gửi lực lượng đa quốc gia tới Dải Gaza sau khi phong trào Hamas bị giải tán.
Bloomberg trước đây đã viết về điều này.",🔥,,,1,['https://pbs.twimg.com/media/F-AQT1GbkAE9JVy?format=jpg&name=900x900'],https://twitter.com/Vinewsshop/status/1720392993121906984
Citizen Provocateur,@CitizenProv46,2023-11-04T01:53:47.000Z,"Citizen Provocateur
@CitizenProv46
·
Nov 4","Richard Blumenthal can resign first, he stole valor.",,,,,"['https://pbs.twimg.com/profile_images/1552023520347099136/tIGoFfQt_normal.jpg', 'https://pbs.twimg.com/media/F-C5cxpXsAAU6fq?format=jpg&name=900x900']",https://twitter.com/CitizenProv46/status/1720620322511089865
Fouled Anchor,@anchor_fouled,2023-11-05T23:17:11.000Z,"Fouled Anchor
@anchor_fouled
·
Nov 6",Republican and Democratic Senators Lindsey Graham and Richard Blumenthal are expected to present a bipartisan resolution that would support a direct American attack on Iran if Hezbollah opens a second front on Israel's northern border or if Americans are killed in the attacks,🍊,,,,[],https://twitter.com/anchor_fouled/status/1721305688494723157
https://t.me/beholdisraelchannel,@nspiass,2023-11-05T22:36:04.000Z,"https://t.me/beholdisraelchannel
@nspiass
·
Nov 6","FRIENDS OF ISRAEL 

Republican and Democratic Senators Lindsey Graham and Richard Blumenthal are expected to present a bipartisan resolution that would support a direct American attack on Iran if Hezbollah opens a second front on Israel's northern border or if Americans are…
Show more",,1,,,[],https://twitter.com/nspiass/status/1721295344317649295
Antiliberal ☭ #spexit☭,@Antoniodelmonio,2023-11-05T21:45:53.000Z,"Antiliberal ☭ #spexit☭
@Antoniodelmonio
·
Nov 6",Los preparativos para una futura operación militar estadounidense contra Irán están en pleno apogeo. Se espera que los senadores republicanos y demócratas Lindsey Graham y Richard Blumenthal presenten una resolución bipartidista que apoyaría un ataque directo de Estados Unidos,,1,2,2,[],https://twitter.com/Antoniodelmonio/status/1721282712617533706
