UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Diana,@DianaHu42465710,2023-11-01T21:34:13.000Z,"Diana
@DianaHu42465710
·
Nov 2","Secure our borders!
Call your senators today and tell them to pass HR-2!
It has passed the House, but withers in the Senate!

Tillis Co-Sponsors Legislation to Secure the Border - Thom Tillis, U.S. Senator...",,,1,,[],https://twitter.com/DianaHu42465710/status/1719830224400007633
Cecilia bowie Alladin sane Parodi,@bowie_sane,2023-11-01T19:14:55.000Z,"Cecilia bowie Alladin sane Parodi
@bowie_sane
·
Nov 2","TAKE YOUR VITIMINS, B12, C, VITD, ZINC. DON'T TOUCH EYES, NOSE, MOUTH. WASH HANDS OFTEN....North Carolina Sen. Thom Tillis tests positive for COVID-19 and will miss votes",,,,1,[],https://twitter.com/bowie_sane/status/1719795170370261399
Cherylinperil,@Cherylinperil1,2023-11-01T13:05:49.000Z,"Cherylinperil
@Cherylinperil1
·
Nov 1","Who voted for Jack Lew as ambassador to Israel?  Democrats plus : Rand Paul and Lindsay Graham
Who did not vote? Mike Lee, Roger Marshall, Tim Scott, Thom Tillis
Jack Lew was involved in Obama’s Cash for Iran Nuke Deal",,,,,['https://pbs.twimg.com/tweet_video_thumb/F92cG26XAAAKdmV.jpg'],https://twitter.com/Cherylinperil1/status/1719702284496486597
CryptosMediaClub,@CryptosMediaClb,2023-11-01T12:50:19.000Z,"CryptosMediaClub
@CryptosMediaClb
·
Nov 1","JUST IN Bro :

U.S. Senators Thom Tillis (R-NC) and John Hickenlooper (D-CO) introduced the Proving Reserves of Others Funds (PROOF) Act.

#web3 #latestnews #BTC #NEWS #HappyHalloween #BallonDor 
#CryptosMediaClub #Palestine",🪙 🎥 🕺,,,1,['https://pbs.twimg.com/media/F92YkKSaMAAoB55?format=jpg&name=900x900'],https://twitter.com/CryptosMediaClb/status/1719698382011441347
DiamondDawg,@DiamondDawg3,2023-11-01T10:00:59.000Z,"DiamondDawg
@DiamondDawg3
·
Nov 1","Thom Tillis Asks Why VA Employees Let Go Due To Grievous Misconduct Are ... https://youtu.be/1MXhf5AAeH8?si=_ItG6sFgAAuTp_vT… via 
@YouTube",,,,1,[],https://twitter.com/DiamondDawg3/status/1719655767265943791
DiamondDawg,@DiamondDawg3,2023-11-01T09:49:19.000Z,"DiamondDawg
@DiamondDawg3
·
Nov 1","Thom Tillis Asks Why VA Employees Let Go Due To Grievous Misconduct Are ... https://youtu.be/1MXhf5AAeH8?si=m5HU_JvlK7BANwxT… via 
@YouTube",,,,1,[],https://twitter.com/DiamondDawg3/status/1719652833513873419
LiveTube Alerts,@livetubealerts,2023-11-01T07:49:54.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 1",Video: Thom Tillis Asks Why VA Employees Let Go Due To Grievous Misconduct Are Being Allowed To Come Back https://livetube.tv/news/video-thom-tillis-asks-why-va-employees-let-go-due-to-grievous-misconduct-are-being-allowed-to-come-back?utm_source=rss&utm_medium=rss&utm_campaign=video-thom-tillis-asks-why-va-employees-let-go-due-to-grievous-misconduct-are-being-allowed-to-come-back… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1719622779761205328
西喜Félix（战友互粉）,@tomate9991,2023-11-01T07:40:36.000Z,"西喜Félix（战友互粉）
@tomate9991
·
Nov 1",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。,,1,,1,['https://pbs.twimg.com/media/F91Rl8DXgAAcjdr?format=png&name=small'],https://twitter.com/tomate9991/status/1719620439859720317
西喜大米（战友互粉）,@dami777777,2023-11-01T07:40:18.000Z,"西喜大米（战友互粉）
@dami777777
·
Nov 1",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。,,1,2,1,['https://pbs.twimg.com/media/F91RmInXcAAebtR?format=png&name=small'],https://twitter.com/dami777777/status/1719620362420326797
NEWSMAX,@NEWSMAX,2023-11-01T05:30:00.000Z,"NEWSMAX
@NEWSMAX
·
Nov 1","Sen. Thom Tillis, R-N.C., said Tuesday that he tested positive for COVID-19 and won't host a Halloween dog parade as planned.",,51,10,47,['https://pbs.twimg.com/card_img/1732162718906580993/5xmHTDC7?format=jpg&name=360x360'],https://twitter.com/NEWSMAX/status/1719587573755244948
